scenario,n,meanPeakDiff,sdPeakDiff,ci95Low,ci95High,pairedT
"Dual-track, T=15",30,-134.43333333333334,26.172746200545348,-144.2063973797951,-124.66026928687158,-28.13314605318092
"Dual-track, T=30",30,-1.1,3.2731931051265946,-2.3222303921692675,0.12223039216926734,-1.8406943736745425
"Dual-track, T=60",30,0.0,0.0,0.0,0.0,inf
Online-only,30,-0.6333333333333333,2.008316044185609,-1.3832508687333331,0.11658420206666664,-1.727272727272727
Offline-only,30,-1.0666666666666667,3.2048813344359712,-2.263389024448898,0.13005569111556503,-1.822961082504471
Weak dual-track,30,-0.5666666666666667,1.9241358711314316,-1.2851508088569172,0.15181747552358404,-1.6130675623083028
Strong dual-track,30,-1.3333333333333333,3.9595657488593656,-2.8118594827586687,0.14519281609200219,-1.8443859495213548
