queueId,priority,scenarioGroup,scenarioId,scenarioName,seedId,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,rerunScope,requiresModelModeSupport,analysisRole,plannedUse,replacementForHistory
V3-E0-1-seed13,1,E0,E0-1,无干预基准情景,13,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed14,1,E0,E0-1,无干预基准情景,14,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed15,1,E0,E0-1,无干预基准情景,15,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed16,1,E0,E0-1,无干预基准情景,16,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed17,1,E0,E0-1,无干预基准情景,17,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed18,1,E0,E0-1,无干预基准情景,18,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed19,1,E0,E0-1,无干预基准情景,19,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed20,1,E0,E0-1,无干预基准情景,20,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed21,1,E0,E0-1,无干预基准情景,21,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed22,1,E0,E0-1,无干预基准情景,22,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
