比较场景,n,峰值均值,峰值相对基准降幅(%),累计传播者人时均值,累计传播者人时相对基准降幅(%),最终R均值,最终R相对基准变化(%),累计传播者人时Cohen_d(相对基准),累计传播者人时Welch_t(相对基准),峰值Cohen_d(相对基准),峰值Welch_t(相对基准)
无干预基准情景,30,863.97,0,41216.73,0,989.93,0,0,0,0,0
T=15 双轨辟谣干预,30,729.53,15.56,23567.5,42.82,986.03,-0.39,-22.777,-88.213,-4.69,-18.166
T=30 双轨辟谣干预,30,862.87,0.13,31061.7,24.64,983.1,-0.69,-11.434,-44.284,-0.056,-0.218
T=60 双轨辟谣干预,30,863.97,0,38730.13,6.03,961.63,-2.86,-3.017,-11.686,0,0
线上单维辟谣干预,30,863.33,0.07,37796,8.3,980.6,-0.94,-3.797,-14.706,-0.033,-0.127
线下单维辟谣干预,30,862.9,0.12,32133.77,22.04,981.93,-0.81,-10.853,-42.035,-0.055,-0.211
弱双轨辟谣干预强度,30,863.4,0.07,37316.97,9.46,980.93,-0.91,-4.403,-17.051,-0.029,-0.114
强双轨辟谣干预强度,30,862.63,0.15,25632.2,37.81,988.03,-0.19,-17.556,-67.993,-0.068,-0.262
