scenario,time,mean_active,sd_active,n
No intervention,118.0,39.3,10.017742880199766,30
No intervention,119.0,38.03333333333333,9.661453211650901,30
No intervention,120.0,36.4,9.372005268810973,30
No intervention,121.0,35.56666666666667,9.511094550062568,30
No intervention,122.0,33.53333333333333,9.26146384993637,30
No intervention,123.0,32.03333333333333,8.90363479954553,30
No intervention,124.0,30.4,9.141040459906913,30
No intervention,125.0,28.933333333333334,8.681861127873342,30
No intervention,126.0,27.766666666666666,8.39820725259095,30
No intervention,127.0,26.3,8.107680479558915,30
No intervention,128.0,25.3,7.634540385416251,30
No intervention,129.0,24.1,7.702887949244796,30
No intervention,130.0,22.533333333333335,7.44975506810208,30
No intervention,131.0,21.6,7.453765537609509,30
No intervention,132.0,20.7,7.584694206551543,30
No intervention,133.0,19.866666666666667,7.550900075754081,30
No intervention,134.0,18.966666666666665,7.378829611583508,30
No intervention,135.0,18.133333333333333,7.4219308452224455,30
No intervention,136.0,17.433333333333334,7.040196575102996,30
No intervention,137.0,16.633333333333333,6.784786904047417,30
No intervention,138.0,15.8,6.666436777645524,30
No intervention,139.0,15.066666666666666,6.340528278509192,30
No intervention,140.0,14.6,6.3169176245904985,30
No intervention,141.0,13.933333333333334,6.051123197723129,30
No intervention,142.0,13.266666666666667,5.901100618168371,30
No intervention,143.0,12.666666666666666,5.646685529694776,30
No intervention,144.0,12.0,5.514870180108348,30
No intervention,145.0,11.666666666666666,5.25444529920132,30
No intervention,146.0,11.166666666666666,5.052028157655807,30
No intervention,147.0,10.633333333333333,4.951372734305406,30
No intervention,148.0,10.1,4.816279863560457,30
No intervention,149.0,9.9,4.685634686335791,30
No intervention,150.0,9.266666666666667,4.346487550078627,30
No intervention,151.0,8.7,4.457848561032939,30
No intervention,152.0,8.266666666666667,4.555658348527219,30
No intervention,153.0,7.933333333333334,4.401671573808996,30
No intervention,154.0,7.6,4.453592118573578,30
No intervention,155.0,7.233333333333333,4.124638611825395,30
No intervention,156.0,6.7,3.9840198033021186,30
No intervention,157.0,6.633333333333334,4.1562859193850175,30
No intervention,158.0,6.333333333333333,3.9333528150696178,30
No intervention,159.0,5.9,3.8448353177593524,30
No intervention,160.0,5.666666666666667,3.8536443417424597,30
No intervention,161.0,5.5,3.8394503917025458,30
No intervention,162.0,5.3,3.668599281695286,30
No intervention,163.0,5.0,3.5233213170882207,30
No intervention,164.0,4.9,3.689220083918308,30
No intervention,165.0,4.833333333333333,3.5045126901471337,30
No intervention,166.0,4.666666666666667,3.294021055282385,30
No intervention,167.0,4.533333333333333,3.421366266045888,30
No intervention,168.0,4.266666666666667,3.139661011059604,30
No intervention,169.0,4.133333333333334,3.0708117912811366,30
No intervention,170.0,3.933333333333333,3.1396610110596046,30
No intervention,171.0,3.6666666666666665,3.032392174315614,30
No intervention,172.0,3.6333333333333333,3.0567430642629327,30
No intervention,173.0,3.466666666666667,2.909358660614389,30
No intervention,174.0,3.2666666666666666,2.790789448727087,30
No intervention,175.0,3.1,2.746157189664282,30
No intervention,176.0,2.9,2.795933006942467,30
No intervention,177.0,2.7,2.7934652809480327,30
No intervention,178.0,2.533333333333333,2.800656737431337,30
No intervention,179.0,2.433333333333333,2.68692021278732,30
No intervention,180.0,2.3666666666666667,2.4980452127728734,30
Dual T=15,0.0,0.0,0.0,30
Dual T=15,1.0,20.0,0.0,30
Dual T=15,2.0,38.43333333333333,3.6829835481701454,30
Dual T=15,3.0,61.166666666666664,3.6206622878002386,30
Dual T=15,4.0,79.76666666666667,4.973608509844277,30
Dual T=15,5.0,105.16666666666667,7.55706261733346,30
Dual T=15,6.0,132.66666666666666,10.882866424301799,30
Dual T=15,7.0,161.13333333333333,14.628110240061845,30
Dual T=15,8.0,195.16666666666666,20.151295557449355,30
Dual T=15,9.0,230.23333333333332,25.847941735349508,30
Dual T=15,10.0,268.03333333333336,30.14274469041041,30
Dual T=15,11.0,309.5,37.70735773806229,30
Dual T=15,12.0,351.46666666666664,42.47168089634456,30
Dual T=15,13.0,398.8666666666667,46.26589816844944,30
Dual T=15,14.0,445.7,52.293699758983955,30
Dual T=15,15.0,491.3,55.92800174608732,30
Dual T=15,16.0,534.8,58.932691003937,30
Dual T=15,17.0,573.9666666666667,60.74621221813402,30
Dual T=15,18.0,609.8666666666667,60.219559964340895,30
Dual T=15,19.0,641.9333333333333,60.72035012695689,30
Dual T=15,20.0,668.7333333333333,58.29587631558768,30
Dual T=15,21.0,691.5333333333333,53.67252770165624,30
Dual T=15,22.0,705.3333333333334,50.270532489537125,30
Dual T=15,23.0,715.9666666666667,45.23614921058487,30
Dual T=15,24.0,720.5,41.34526616775804,30
Dual T=15,25.0,719.4666666666667,34.71632164423166,30
Dual T=15,26.0,716.1333333333333,28.4880293472882,30
Dual T=15,27.0,708.8,26.135456165246424,30
Dual T=15,28.0,695.4,23.09590200999245,30
Dual T=15,29.0,681.0333333333333,20.8533191492441,30
Dual T=15,30.0,663.1,21.667312103560576,30
Dual T=15,31.0,639.8333333333334,21.787505646559218,30
Dual T=15,32.0,616.3,23.20545417457447,30
Dual T=15,33.0,591.3,25.08626496023613,30
Dual T=15,34.0,564.2,27.677203366794423,30
Dual T=15,35.0,536.7,26.266735223669194,30
Dual T=15,36.0,509.76666666666665,25.59186742230663,30
Dual T=15,37.0,485.06666666666666,26.55369749346996,30
Dual T=15,38.0,457.43333333333334,26.284495670331548,30
Dual T=15,39.0,431.8,27.858509502917375,30
Dual T=15,40.0,404.8,28.681845754101488,30
Dual T=15,41.0,377.93333333333334,29.806193910029823,30
Dual T=15,42.0,353.56666666666666,28.392183641876215,30
Dual T=15,43.0,328.4,29.505814739611505,30
Dual T=15,44.0,306.53333333333336,29.855668130863023,30
Dual T=15,45.0,284.56666666666666,29.516428310855723,30
Dual T=15,46.0,263.1666666666667,29.385761662848683,30
Dual T=15,47.0,245.2,29.40021111817232,30
Dual T=15,48.0,226.63333333333333,30.589025903861774,30
Dual T=15,49.0,209.96666666666667,29.28985152401511,30
Dual T=15,50.0,193.83333333333334,27.80732145383265,30
Dual T=15,51.0,177.7,25.907195112954422,30
Dual T=15,52.0,163.5,26.492354134470695,30
Dual T=15,53.0,150.3,24.68442200366807,30
Dual T=15,54.0,136.73333333333332,23.331100057328147,30
Dual T=15,55.0,123.96666666666667,20.76383349984283,30
Dual T=15,56.0,113.4,19.605769734865085,30
Dual T=15,57.0,103.43333333333334,18.52246228759563,30
Dual T=15,58.0,94.23333333333333,17.044937226562944,30
Dual T=15,59.0,86.1,15.457059541037308,30
Dual T=15,60.0,79.16666666666667,14.64542610329677,30
Dual T=15,61.0,73.13333333333334,13.657720649264041,30
Dual T=15,62.0,66.8,11.415053581821772,30
Dual T=15,63.0,61.4,10.778650673661689,30
Dual T=15,64.0,56.233333333333334,10.53625377817756,30
Dual T=15,65.0,51.833333333333336,9.388486468058606,30
Dual T=15,66.0,48.166666666666664,9.314739277945032,30
Dual T=15,67.0,44.1,9.018563231392276,30
Dual T=15,68.0,41.1,8.289378330336255,30
Dual T=15,69.0,38.53333333333333,7.677703200618111,30
Dual T=15,70.0,36.266666666666666,7.239419548713752,30
Dual T=15,71.0,33.266666666666666,6.664022464120214,30
Dual T=15,72.0,31.133333333333333,6.0840851369801685,30
Dual T=15,73.0,29.233333333333334,6.13460131820588,30
Dual T=15,74.0,27.033333333333335,6.0142550966695865,30
Dual T=15,75.0,25.033333333333335,5.939251858919452,30
Dual T=15,76.0,23.2,5.68361225593918,30
Dual T=15,77.0,21.5,6.0671529424917425,30
Dual T=15,78.0,20.066666666666666,5.53940948759562,30
Dual T=15,79.0,19.2,5.371701072639198,30
Dual T=15,80.0,18.2,5.026824595829994,30
Dual T=15,81.0,17.166666666666668,4.763969174842609,30
Dual T=15,82.0,15.6,4.507465072444861,30
Dual T=15,83.0,14.6,4.469050659044205,30
Dual T=15,84.0,13.366666666666667,4.405978174952858,30
Dual T=15,85.0,12.266666666666667,4.25021973738911,30
Dual T=15,86.0,11.266666666666667,4.118363696934728,30
Dual T=15,87.0,10.3,3.8698658980597136,30
Dual T=15,88.0,9.633333333333333,3.854986321665732,30
Dual T=15,89.0,8.866666666666667,3.883948695755953,30
Dual T=15,90.0,8.266666666666667,3.8945880516370437,30
Dual T=15,91.0,7.833333333333333,3.9311605142127872,30
Dual T=15,92.0,7.366666666666666,3.995543494456286,30
Dual T=15,93.0,6.666666666666667,3.575137647056725,30
Dual T=15,94.0,6.266666666666667,3.4931789033163927,30
Dual T=15,95.0,5.533333333333333,3.3397639120910543,30
Dual T=15,96.0,5.1,3.00975425735311,30
Dual T=15,97.0,4.666666666666667,2.9749915483314706,30
Dual T=15,98.0,4.366666666666666,2.8343135559308417,30
Dual T=15,99.0,4.166666666666667,2.6663074470696078,30
Dual T=15,100.0,3.7,2.4795717094024456,30
Dual T=15,101.0,3.433333333333333,2.3146211924130946,30
Dual T=15,102.0,3.066666666666667,2.083321839048751,30
Dual T=15,103.0,2.7333333333333334,1.9106477207072157,30
Dual T=15,104.0,2.466666666666667,1.8705214713316298,30
Dual T=15,105.0,2.2,1.8643663987975962,30
Dual T=15,106.0,1.9333333333333333,1.6801751413906605,30
Dual T=15,107.0,1.7666666666666666,1.5465943304527228,30
Dual T=15,108.0,1.5,1.3326147488923858,30
Dual T=15,109.0,1.4,1.2757688689165259,30
Dual T=15,110.0,1.1666666666666667,1.2058287558794356,30
Dual T=15,111.0,1.1,1.0938700673013826,30
Dual T=15,112.0,1.0333333333333334,1.1290317283753195,30
Dual T=15,113.0,0.9333333333333333,1.01483252680985,30
Dual T=15,114.0,0.8333333333333334,1.0199166069132668,30
Dual T=15,115.0,0.7666666666666667,0.9714309861845771,30
Dual T=15,116.0,0.7,0.9153857298880941,30
Dual T=15,117.0,0.6333333333333333,0.8502873077655144,30
Dual T=15,118.0,0.5333333333333333,0.7760791522613609,30
Dual T=15,119.0,0.4666666666666667,0.7302967433402215,30
Dual T=15,120.0,0.43333333333333335,0.6789105539243627,30
Dual T=15,121.0,0.4,0.6746646676632054,30
Dual T=15,122.0,0.36666666666666664,0.6686751354593717,30
Dual T=15,123.0,0.3,0.5959634332684377,30
Dual T=15,124.0,0.3,0.5959634332684377,30
Dual T=15,125.0,0.26666666666666666,0.5832922809856746,30
Dual T=15,126.0,0.26666666666666666,0.5832922809856746,30
Dual T=15,127.0,0.26666666666666666,0.5832922809856746,30
Dual T=15,128.0,0.26666666666666666,0.5832922809856746,30
Dual T=15,129.0,0.16666666666666666,0.5306686305052324,30
Dual T=15,130.0,0.13333333333333333,0.4341724854553047,30
Dual T=15,131.0,0.1,0.40257789993644877,30
Dual T=15,132.0,0.1,0.40257789993644877,30
Dual T=15,133.0,0.1,0.40257789993644877,30
Dual T=15,134.0,0.1,0.40257789993644877,30
Dual T=15,135.0,0.1,0.40257789993644877,30
Dual T=15,136.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,137.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,138.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,139.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,140.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,141.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,142.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,143.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,144.0,0.1,0.5477225575051662,30
Dual T=15,145.0,0.1,0.5477225575051662,30
Dual T=15,146.0,0.1,0.5477225575051662,30
Dual T=15,147.0,0.1,0.5477225575051662,30
Dual T=15,148.0,0.1,0.5477225575051662,30
Dual T=15,149.0,0.1,0.5477225575051662,30
Dual T=15,150.0,0.1,0.5477225575051662,30
Dual T=15,151.0,0.1,0.5477225575051662,30
Dual T=15,152.0,0.1,0.5477225575051662,30
Dual T=15,153.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,154.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,155.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,156.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,157.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,158.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,159.0,0.06666666666666667,0.3651483716701107,30
Dual T=15,160.0,0.03333333333333333,0.18257418583505536,30
Dual T=15,161.0,0.03333333333333333,0.18257418583505536,30
Dual T=15,162.0,0.03333333333333333,0.18257418583505536,30
Dual T=15,163.0,0.03333333333333333,0.18257418583505536,30
Dual T=15,164.0,0.0,0.0,30
Dual T=15,165.0,0.0,0.0,30
Dual T=15,166.0,0.0,0.0,30
Dual T=15,167.0,0.0,0.0,30
Dual T=15,168.0,0.0,0.0,30
Dual T=15,169.0,0.0,0.0,30
Dual T=15,170.0,0.0,0.0,30
Dual T=15,171.0,0.0,0.0,30
Dual T=15,172.0,0.0,0.0,30
Dual T=15,173.0,0.0,0.0,30
Dual T=15,174.0,0.0,0.0,30
Dual T=15,175.0,0.0,0.0,30
Dual T=15,176.0,0.0,0.0,30
Dual T=15,177.0,0.0,0.0,30
Dual T=15,178.0,0.0,0.0,30
Dual T=15,179.0,0.0,0.0,30
Dual T=15,180.0,0.0,0.0,30
Dual T=30,0.0,0.0,0.0,30
Dual T=30,1.0,20.0,0.0,30
Dual T=30,2.0,38.43333333333333,3.6829835481701454,30
Dual T=30,3.0,61.166666666666664,3.6206622878002386,30
Dual T=30,4.0,79.76666666666667,4.973608509844277,30
Dual T=30,5.0,105.16666666666667,7.55706261733346,30
Dual T=30,6.0,132.66666666666666,10.882866424301799,30
Dual T=30,7.0,161.13333333333333,14.628110240061845,30
Dual T=30,8.0,195.16666666666666,20.151295557449355,30
Dual T=30,9.0,230.23333333333332,25.847941735349508,30
Dual T=30,10.0,268.03333333333336,30.14274469041041,30
Dual T=30,11.0,309.5,37.70735773806229,30
Dual T=30,12.0,351.46666666666664,42.47168089634456,30
Dual T=30,13.0,398.8666666666667,46.26589816844944,30
Dual T=30,14.0,445.7,52.293699758983955,30
Dual T=30,15.0,491.3,55.92800174608732,30
Dual T=30,16.0,540.1,59.42271132058562,30
Dual T=30,17.0,586.2666666666667,62.13108130692572,30
Dual T=30,18.0,630.4666666666667,62.8455870852676,30
Dual T=30,19.0,673.2666666666667,63.00133185966749,30
Dual T=30,20.0,712.4333333333333,61.28209691499509,30
Dual T=30,21.0,744.6333333333333,57.276391798639565,30
Dual T=30,22.0,774.9333333333333,53.37630452792205,30
Dual T=30,23.0,799.7,47.96920707689682,30
Dual T=30,24.0,818.8333333333334,43.327210000607934,30
Dual T=30,25.0,832.8,39.1543365282253,30
Dual T=30,26.0,845.9333333333333,32.29597320189424,30
Dual T=30,27.0,852.5333333333333,28.16176587984611,30
Dual T=30,28.0,854.7333333333333,23.303001631924406,30
Dual T=30,29.0,855.9333333333333,20.048103071902077,30
Dual T=30,30.0,853.9333333333333,15.77193783238147,30
Dual T=30,31.0,838.9,13.976211316326777,30
Dual T=30,32.0,823.4333333333333,14.613841651533395,30
Dual T=30,33.0,802.2666666666667,16.960264582624994,30
Dual T=30,34.0,777.4,18.012639240649687,30
Dual T=30,35.0,753.1,19.863933700779537,30
Dual T=30,36.0,725.6333333333333,20.97203940444538,30
Dual T=30,37.0,697.0666666666667,20.941516813181927,30
Dual T=30,38.0,669.0333333333333,21.737435266241114,30
Dual T=30,39.0,638.6666666666666,22.556187824971722,30
Dual T=30,40.0,609.4666666666667,25.00170109155105,30
Dual T=30,41.0,579.9333333333333,27.40995707998165,30
Dual T=30,42.0,550.2333333333333,28.270471170991883,30
Dual T=30,43.0,520.4333333333333,26.91965482861832,30
Dual T=30,44.0,493.6,25.215758619534355,30
Dual T=30,45.0,465.7,25.097259089253225,30
Dual T=30,46.0,437.06666666666666,26.602998707474416,30
Dual T=30,47.0,409.3,25.309327706707595,30
Dual T=30,48.0,384.5,25.176275093552018,30
Dual T=30,49.0,358.3,24.020321856065248,30
Dual T=30,50.0,333.56666666666666,22.6771696423629,30
Dual T=30,51.0,311.93333333333334,22.46519658207478,30
Dual T=30,52.0,291.1666666666667,22.4254832467569,30
Dual T=30,53.0,270.9,21.063696502390727,30
Dual T=30,54.0,251.9,21.881105059404327,30
Dual T=30,55.0,233.43333333333334,23.042215131382655,30
Dual T=30,56.0,217.46666666666667,21.876981026882454,30
Dual T=30,57.0,200.63333333333333,21.171684625580873,30
Dual T=30,58.0,184.53333333333333,19.55140586414102,30
Dual T=30,59.0,171.03333333333333,17.818013615310832,30
Dual T=30,60.0,158.76666666666668,17.93221592040682,30
Dual T=30,61.0,147.8,16.35047189026918,30
Dual T=30,62.0,136.73333333333332,15.935069399962122,30
Dual T=30,63.0,128.1,14.60361315707107,30
Dual T=30,64.0,119.83333333333333,13.403765125524615,30
Dual T=30,65.0,111.4,13.066408629870667,30
Dual T=30,66.0,104.0,12.340010618673128,30
Dual T=30,67.0,96.93333333333334,11.392475839216267,30
Dual T=30,68.0,91.03333333333333,10.600856612535623,30
Dual T=30,69.0,86.06666666666666,11.197085006539789,30
Dual T=30,70.0,80.63333333333334,10.34735792808744,30
Dual T=30,71.0,76.63333333333334,11.189537395551111,30
Dual T=30,72.0,72.23333333333333,10.714744379892446,30
Dual T=30,73.0,68.03333333333333,10.822974711658315,30
Dual T=30,74.0,64.5,10.291442712440675,30
Dual T=30,75.0,60.766666666666666,9.814427568928672,30
Dual T=30,76.0,56.56666666666667,9.276159034685728,30
Dual T=30,77.0,53.0,8.59831579338411,30
Dual T=30,78.0,49.2,8.507197763841127,30
Dual T=30,79.0,46.13333333333333,8.114411756924808,30
Dual T=30,80.0,42.733333333333334,7.538102447283874,30
Dual T=30,81.0,40.46666666666667,7.695647374051592,30
Dual T=30,82.0,37.8,7.145772803939209,30
Dual T=30,83.0,35.4,7.3183755499192005,30
Dual T=30,84.0,32.56666666666667,6.65755123943835,30
Dual T=30,85.0,30.266666666666666,6.302344026620974,30
Dual T=30,86.0,27.766666666666666,5.93460531374118,30
Dual T=30,87.0,25.8,5.791789670404727,30
Dual T=30,88.0,24.133333333333333,5.600082101204399,30
Dual T=30,89.0,22.4,5.462095088756756,30
Dual T=30,90.0,20.6,5.543557926346456,30
Dual T=30,91.0,19.033333333333335,5.346499553096807,30
Dual T=30,92.0,17.7,5.370095998628214,30
Dual T=30,93.0,16.166666666666668,5.065660819698639,30
Dual T=30,94.0,15.166666666666666,5.119828481322486,30
Dual T=30,95.0,14.066666666666666,4.841867218431288,30
Dual T=30,96.0,12.7,4.669416267143257,30
Dual T=30,97.0,11.6,4.694824736914556,30
Dual T=30,98.0,10.9,4.52845410175748,30
Dual T=30,99.0,10.3,4.771683719321867,30
Dual T=30,100.0,9.666666666666666,4.301830671520762,30
Dual T=30,101.0,8.8,4.113895712221505,30
Dual T=30,102.0,8.0,3.9566617765223633,30
Dual T=30,103.0,7.533333333333333,3.8750602516635775,30
Dual T=30,104.0,7.0,3.823701041552858,30
Dual T=30,105.0,6.5,3.7393527007611436,30
Dual T=30,106.0,5.8,3.5076271574758437,30
Dual T=30,107.0,5.266666666666667,3.5905367318812527,30
Dual T=30,108.0,5.0,3.5911769274345047,30
Dual T=30,109.0,4.566666666666666,3.349558214135867,30
Dual T=30,110.0,4.3,3.007461984166532,30
Dual T=30,111.0,3.966666666666667,2.8585423501876077,30
Dual T=30,112.0,3.7,2.805782206997444,30
Dual T=30,113.0,3.5,2.515469381029424,30
Dual T=30,114.0,3.1333333333333333,2.4315928273789837,30
Dual T=30,115.0,2.933333333333333,2.242740523883952,30
Dual T=30,116.0,2.7333333333333334,2.1161665623339365,30
Dual T=30,117.0,2.533333333333333,2.1291625896895083,30
Dual T=30,118.0,2.2666666666666666,2.0160277319749236,30
Dual T=30,119.0,2.066666666666667,1.9640446187314118,30
Dual T=30,120.0,1.8666666666666667,1.8332810859848758,30
Dual T=30,121.0,1.7666666666666666,1.7554512797005497,30
Dual T=30,122.0,1.6666666666666667,1.688364508227912,30
Dual T=30,123.0,1.4333333333333333,1.6543220995910688,30
Dual T=30,124.0,1.2666666666666666,1.4840144374549435,30
Dual T=30,125.0,1.0,1.3390681268239726,30
Dual T=30,126.0,0.8666666666666667,1.3321834121764768,30
Dual T=30,127.0,0.7666666666666667,1.19433528860584,30
Dual T=30,128.0,0.7666666666666667,1.2507469032909713,30
Dual T=30,129.0,0.6666666666666666,1.1547005383792517,30
Dual T=30,130.0,0.7,1.2077336998093466,30
Dual T=30,131.0,0.6666666666666666,1.2129568697262456,30
Dual T=30,132.0,0.6,1.1626367179523596,30
Dual T=30,133.0,0.6,1.1626367179523596,30
Dual T=30,134.0,0.6333333333333333,1.2726115785600325,30
Dual T=30,135.0,0.5333333333333333,1.224275530553741,30
Dual T=30,136.0,0.5333333333333333,1.224275530553741,30
Dual T=30,137.0,0.43333333333333335,1.0063019815944514,30
Dual T=30,138.0,0.36666666666666664,0.8087168778415269,30
Dual T=30,139.0,0.36666666666666664,0.8087168778415269,30
Dual T=30,140.0,0.3,0.6512587281829572,30
Dual T=30,141.0,0.23333333333333334,0.5683207771559354,30
Dual T=30,142.0,0.23333333333333334,0.5683207771559354,30
Dual T=30,143.0,0.2,0.5508613944197479,30
Dual T=30,144.0,0.13333333333333333,0.4341724854553047,30
Dual T=30,145.0,0.13333333333333333,0.4341724854553047,30
Dual T=30,146.0,0.13333333333333333,0.4341724854553047,30
Dual T=30,147.0,0.13333333333333333,0.4341724854553047,30
Dual T=30,148.0,0.13333333333333333,0.4341724854553047,30
Dual T=30,149.0,0.13333333333333333,0.4341724854553047,30
Dual T=30,150.0,0.13333333333333333,0.4341724854553047,30
Dual T=30,151.0,0.13333333333333333,0.4341724854553047,30
Dual T=30,152.0,0.13333333333333333,0.4341724854553047,30
