runId,time,S,E,I1,I2,G1,G2,R,modelMode,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,seedId
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,0.0,1000,0,0,0,0,0,0,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,1.0,937,43,10,10,0,0,0,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,2.0,935,27,21,17,0,0,0,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,3.0,910,32,34,21,0,0,3,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,4.0,882,43,44,22,0,0,9,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,5.0,857,39,65,24,0,0,15,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,6.0,823,50,67,30,0,0,30,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,7.0,797,48,75,32,0,0,48,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,8.0,758,55,89,32,0,0,66,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,9.0,711,65,99,40,0,0,85,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,10.0,666,84,101,41,0,0,108,3,30.0,false,false,4,6,0.1,10,10,21
M3_T30_onfalse_offfalse_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781353991394,11.0,639,59,122,45,0,0,135,3,30.0,false,false,4,6,0.1,10,10,21
