scenario,alpha1_alpha2,onlineGovEffect,offlineGovEffect,n,peak_mean,peak_sd,peak_change_vs_baseline,peak_reduction_pct,paired_peak_diff_mean,paired_peak_diff_sd,paired_peak_diff_ci95_low,paired_peak_diff_ci95_high,burden_mean,burden_sd,burden_change_vs_baseline,burden_reduction_pct,paired_burden_diff_mean,paired_burden_diff_sd,paired_burden_diff_ci95_low,paired_burden_diff_ci95_high
No intervention baseline,reference,0.0,0.0,30,863.9666666666667,18.79376883774079,0.0,0.0,0.0,0.0,0.0,0.0,41216.73333333333,867.2361939471588,0.0,0.0,0.0,0.0,0.0,0.0
Budget-matched online-only,0.20 / 0.00,0.2,0.0,30,862.8333333333334,20.30132207913858,-1.1333333333333258,0.1311779003819583,-1.1333333333333333,3.2666901242413693,-2.3531354725329945,0.08646880586632788,29077.666666666668,843.0696103027863,-12139.066666666662,29.451792233251535,-12139.066666666668,1288.3907613852982,-12620.159683479164,-11657.973649854172
Budget-matched equal dual,0.10 / 0.10,0.1,0.1,30,862.7666666666667,20.452945717078194,-1.2000000000000455,0.13889424746325615,-1.2,3.5272339460751434,-2.5170908011604887,0.11709080116048876,31326.433333333334,880.6813852346662,-9890.299999999996,23.995836642399276,-9890.3,1114.9389081763704,-10306.625030396419,-9473.97496960358
Reported dual-track anchor,0.05 / 0.15,0.05,0.15,30,862.8666666666667,20.339757794193048,-1.1000000000000227,0.12731972684131596,-1.1,3.2731931051265946,-2.3222303921692675,0.12223039216926734,31061.7,908.544009523688,-10155.03333333333,24.638132409005394,-10155.033333333333,1317.343342340635,-10646.937421548835,-9663.12924511783
Budget-matched offline-only,0.00 / 0.20,0.0,0.2,30,862.9,20.26267164193719,-1.0666666666667197,0.12346155330067361,-1.0666666666666667,3.1286587776755774,-2.234927053997021,0.10159372066368788,29771.0,834.3741821641349,-11445.73333333333,27.769627546093734,-11445.733333333334,1202.2124699854455,-11894.646847283884,-10996.819819382783
