runId,rawFile,rowCount,maxTime,runCompleted,expectedFinalTime,medianDt,minDt,maxDt,hasDuplicateTimes,hasNegativeTimeStep,populationConstant,populationInitial,populationMin,populationMax,qualityNote
M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362821099,raw_timeseries_M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362821099.csv,120,119,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362838952,raw_timeseries_M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362838952.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362849812,raw_timeseries_M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362849812.csv,103,102,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362311852,raw_timeseries_M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362311852.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362322586,raw_timeseries_M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362322586.csv,105,104,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362867094,raw_timeseries_M0_T15_onfalse_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362867094.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362878542,raw_timeseries_M0_T15_onfalse_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362878542.csv,118,117,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362897625,raw_timeseries_M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362897625.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362908826,raw_timeseries_M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362908826.csv,124,123,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362927460,raw_timeseries_M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362927460.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
