runId,rawFile,seedId,modelMode,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,rowCount,durationHours,runCompleted,usedForScenarioStats,duplicateSeedPolicy,metricScope,populationInitial,populationFinal,populationMin,populationMax,populationConstant,I1Peak,I1PeakTime,I2Peak,I2PeakTime,totalInfectedPeak,totalInfectedPeakTime,EPeak,EPeakTime,G1Peak,G1PeakTime,G2Peak,G2PeakTime,cumulativeInfectedPersonHours_right,cumulativeInfectedPersonHours_trapezoid,finalS,finalE,finalI1,finalI2,finalG1,finalG2,finalR,anylogicSummaryAvailable
M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362721914,raw_timeseries_M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362721914.csv,15,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,522,23,217,27,737,24,91,14,0,0,498,83,24905,24905,12,0,0,0,0,0,988,true
M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362732839,raw_timeseries_M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362732839.csv,15,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,113,112,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,522,23,217,27,737,24,91,14,0,0,498,83,24890,24889,3,0,1,1,0,495,500,false
M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362750884,raw_timeseries_M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362750884.csv,16,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,568,26,197,24,760,24,106,13,0,0,496,91,25362,25361.5,15,0,0,1,0,3,981,true
M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362761698,raw_timeseries_M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362761698.csv,16,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,113,112,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,568,26,197,24,760,24,106,13,0,0,496,91,25079,25077.5,3,0,3,0,0,487,507,false
M0_T15_onfalse_offtrue_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362780941,raw_timeseries_M0_T15_onfalse_offtrue_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362780941.csv,17,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,551,26,213,27,763,26,86,13,0,0,482,95,26364,26364,6,0,0,0,0,3,991,true
M0_T15_onfalse_offtrue_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362791867,raw_timeseries_M0_T15_onfalse_offtrue_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362791867.csv,17,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,122,121,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,551,26,213,27,763,26,86,13,0,0,482,95,26364,26364,2,0,0,0,0,411,587,false
M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362810084,raw_timeseries_M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362810084.csv,18,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,582,26,234,29,807,26,92,11,0,0,455,106,27166,27166,8,0,0,0,0,5,987,true
M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362821099,raw_timeseries_M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362821099.csv,18,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,120,119,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,582,26,234,29,807,26,92,11,0,0,455,106,27166,27166,0,0,0,0,0,420,580,false
M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362838952,raw_timeseries_M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362838952.csv,19,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,583,22,189,23,771,24,99,15,0,0,516,91,25947,25947,11,0,0,0,0,4,985,true
M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362849812,raw_timeseries_M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362849812.csv,19,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,103,102,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,583,22,189,23,771,24,99,15,0,0,516,91,25899,25896,0,0,3,3,0,516,478,false
M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362311852,raw_timeseries_M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362311852.csv,1,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,519,27,193,26,711,27,96,14,0,0,563,94,23516,23516,16,0,0,0,0,3,981,true
M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362322586,raw_timeseries_M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362322586.csv,1,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,105,104,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,519,27,193,26,711,27,96,14,0,0,563,94,23514,23513.5,7,0,0,1,0,563,429,false
